Команда,Сумма
Команда Касумова,54
Инк,49
Ва-банк,40
Гвардия,57
Напряжены у всех на глазах,60
ВНИИА,33
Giper-Turbo,22
Команда Гусейнова,29
Слон в удаве,45
V for Vinishko,35
Команда Алхазова,46
"2,5 человека",21
Борский корабел,73
Полёт Навигатора,36
Brainstorm,39
Афина,60
Эрликон,28
Пахлава глупости,37
Веретено,44
Ксеп,72
Перезагрузка,29
Ромашка,35
Эрудит,47
Бонобо,9
Хронически разумные United,51
Кузинатра,47
Сборная МФЦА,54
Братья,64
X-promt,49
Middle,48
Мираж,65
Бедлам,46
Горский винодел,52
Gambler,61
Зненацька,51
Каспий,24
Команда Бората Сагдиева,17
Арагаст,55
DimTeam,53
Кипарис,39
Зигзаг,57
Механизм реакции,62
Минус один,56
Пахом Пихай,72
Сборная ВКЛ,29
Команда Губанова,71
Старая гвардия,29
Der Рефрижератор,26
Приматы,49
Жмурки,30
Опять двойка,36
Глеб Шишкин,51
Ливония,19
Пентиум,53
Резко континентальные,34
Мы,34
Понты Пилата,41
Рабочее название,76
Тёмный лес,47
Эрудиты,59
Jazz,37
Quantum,20
Монополия,12
El dorado,33
Норманны,45
КиПЛ,26
Кьяроскуро,44
Команда Игоря Пятова,52
Chgk online,37
