Команда,Настоящее место,Медиана,Мода,Лучшее место,Худшее место
DimTeam,36,45,47,24,60
Eclipse,41,32,34,18,52
Gambler,35,36,40,12,58
Giper-Turbo,37,52,39,32,62
Keisecker,16,14,15,3,27
X-promt,13,18,18,6,41
Арагаст,10,12,11,3,24
Афина,21,21,21,9,44
Барселона,53,53,52,36,61
Бедлам,31,28,27,11,49
Бонобо,63,64,64,62,64
Борский корабел,6,2,1,1,6
Братья,8,8,8,1,19
Ва-банк,64,60,62,39,64
Варанда,59,63,63,58,63
Веретено,33,43,38,19,62
Вжух,12,12,12,2,26
Ворона и Медведы,24,42,39,18,61
Гвардия,17,22,22,12,43
Глеб Шишкин,45,38,43,22,60
Двин,58,58,60,37,62
Джагернаут,47,52,39,34,63
Жмурки,51,47,46,26,61
Жрецы Хамона,49,39,45,23,55
Зигзаг,7,8,7,1,23
Зима далеко!,56,55,55,37,61
Зненацька,15,19,19,5,42
ИЖ Юпитер 5,34,43,36,27,58
Как-то так,22,32,40,13,50
Команда Алхазова,46,39,42,23,57
Команда Губанова,2,4,2,1,18
Ксеп,5,6,5,2,16
Кьяроскуро,28,26,13,10,45
Мираж,9,10,14,2,29
Мистерия,39,47,49,28,60
Монополия,65,65,65,65,65
НУИХ,54,52,53,34,60
Напряжены у всех на глазах,11,15,12,2,31
Номер 6,26,24,24,11,46
Норманны,38,35,41,18,54
ОНУ им. Мечникова,52,51,56,29,63
Опять двойка,57,60,62,38,64
Панические атаки,32,31,29,17,49
Пахом Пихай,19,17,17,7,28
Пентиум,29,28,40,7,49
Понты Пилата,50,45,46,28,57
Призрак оптимизма,62,59,61,47,64
Приматы,25,20,20,7,46
Рабочее название,2,4,4,1,15
Сборная ВКЛ,55,53,58,36,62
Сборная Кайнозоя,60,56,59,37,61
Сборная Кирибати,1,1,1,1,14
Сборная Нидерландов,23,31,23,12,47
Совхоз Победа,48,46,44,23,62
Сперва добейся,43,43,38,20,59
Спонсора.net,44,30,24,17,49
Страпелька,14,12,14,1,29
Тачанка,20,10,11,1,22
Тормоза,42,34,41,12,56
Тёмный лес,40,34,40,12,59
Хронически разумные United,18,26,23,12,47
Церебрум,27,24,21,11,42
Эрликон,61,58,60,38,62
Эрудиты,4,6,5,1,19
Язык Чау-Чау,30,33,33,17,50
